Lead ID,Location,College/University,Year of Study,Program Interest,Lead Source
LD12028,Ahmedabad,Nirma University,2nd,Electric Vehicles,LinkedIn
LD12029,Delhi,University of Delhi,3rd,Environmental Science,Google Form
LD12030,Ahmedabad,Indian Institute of Management Ahmedabad (IIM-A),3rd,Environmental Science,LinkedIn
LD12031,Ahmedabad,Gujarat University,4th,Robotics,LinkedIn
LD12032,Ahmedabad,Nirma University,3rd,Environmental Science,Google Form
LD12033,Mumbai,Narsee Monjee Institute of Management Studies (NMIMS),1st,Data Science,Mass-Mailing
LD12034,Jaipur,Rajasthan Technical University,2nd,Robotics,Google Form
LD12035,Bengaluru,Indian Institute of Science (IISc),2nd,Environmental Science,College Collaboration
LD12036,Jaipur,Rajasthan Technical University,4th,Data Science,Mass-Mailing
LD12037,Kolkata,Indian Statistical Institute,2nd,Environmental Science,LinkedIn
LD12038,Hyderabad,University of Hyderabad,2nd,Artificial Intelligence,Google Form
LD12039,Pune,MIT World Peace University,1st,Business Administration,Google Form
LD12040,Hyderabad,International Institute of Information Technology (IIIT-H),1st,Data Science,College Collaboration
LD12041,Indore,Indian Institute of Management Indore (IIM-I),1st,Environmental Science,College Collaboration
LD12042,Indore,Devi Ahilya Vishwavidyalaya,2nd,Business Administration,Instagram
LD12043,Ahmedabad,Indian Institute of Management Ahmedabad (IIM-A),2nd,Data Science,College Collaboration
LD12044,Delhi,Guru Gobind Singh Indraprastha University,3rd,Artificial Intelligence,College Collaboration
LD12045,Ahmedabad,Indian Institute of Management Ahmedabad (IIM-A),4th,Data Science,College Collaboration
LD12046,Ahmedabad,Nirma University,2nd,Data Science,LinkedIn
LD12047,Kolkata,Presidency University,2nd,Artificial Intelligence,College Collaboration
LD12048,Bengaluru,National Institute of Fashion Technology (NIFT),4th,Data Science,Google Form
LD12049,Mumbai,Tata Institute of Social Sciences (TISS),4th,Biotechnology,LinkedIn
LD12050,Bengaluru,PES University,4th,Biotechnology,LinkedIn
LD12051,Hyderabad,Indian School of Business (ISB),1st,Environmental Science,LinkedIn
LD12052,Mumbai,Sardar Patel Institute of Technology,3rd,Business Administration,College Collaboration
LD12053,Hyderabad,Indian School of Business (ISB),2nd,Biotechnology,Mass-Mailing
LD12054,Pune,University of Pune (Savitribai Phule Pune University),2nd,Data Science,LinkedIn
LD12055,Hyderabad,Indian School of Business (ISB),2nd,Cybersecurity,LinkedIn
LD12056,Kolkata,Presidency University,2nd,Artificial Intelligence,Instagram
LD12057,Mumbai,St. Xavier's College,2nd,Robotics,College Collaboration
LD12058,Chennai,Loyola College,4th,Data Science,Instagram
LD12059,Mumbai,Indian Institute of Technology Bombay (IIT-B),4th,Environmental Science,College Collaboration
LD12060,Mumbai,Sardar Patel Institute of Technology,1st,Business Administration,Google Form
LD12061,Delhi,University of Delhi,4th,Electric Vehicles,LinkedIn
LD12062,Ahmedabad,Gujarat University,3rd,Artificial Intelligence,LinkedIn
LD12063,Hyderabad,University of Hyderabad,2nd,Biotechnology,LinkedIn
LD12064,Indore,Devi Ahilya Vishwavidyalaya,2nd,Robotics,College Collaboration
LD12065,Bengaluru,PES University,4th,Biotechnology,Mass-Mailing
LD12066,Delhi,Guru Gobind Singh Indraprastha University,4th,Robotics,College Collaboration
LD12067,Ahmedabad,Gujarat University,1st,Biotechnology,LinkedIn
LD12068,Ahmedabad,Gujarat University,1st,Artificial Intelligence,Whatsapp
LD12069,Delhi,Jawaharlal Nehru University (JNU),2nd,Data Science,Mass-Mailing
LD12070,Kolkata,Indian Statistical Institute,2nd,Business Administration,Mass-Mailing
LD12071,Delhi,Lady Shri Ram College for Women,2nd,Cybersecurity,College Collaboration
LD12072,Bengaluru,National Institute of Fashion Technology (NIFT),4th,Data Science,Instagram
LD12073,Chennai,Indian Institute of Technology Madras (IIT-M),2nd,Data Science,Instagram
LD12074,Hyderabad,Osmania University,2nd,Environmental Science,LinkedIn
LD12075,Delhi,Jawaharlal Nehru University (JNU),4th,Data Science,College Collaboration
LD12076,Ahmedabad,Gujarat University,3rd,Business Administration,Mass-Mailing
LD12077,Ahmedabad,Indian Institute of Management Ahmedabad (IIM-A),2nd,Robotics,LinkedIn
LD12078,Bengaluru,Indian Institute of Science (IISc),2nd,Biotechnology,Google Form
LD12079,Hyderabad,University of Hyderabad,4th,Data Science,College Collaboration
LD12080,Ahmedabad,Indian Institute of Management Ahmedabad (IIM-A),1st,Electric Vehicles,College Collaboration
LD12081,Hyderabad,Indian School of Business (ISB),3rd,Data Science,LinkedIn
LD12082,Delhi,University of Delhi,1st,Environmental Science,Google Form
LD12083,Chennai,Anna University,3rd,Data Science,Whatsapp
LD12084,Bengaluru,Christ University,4th,Business Administration,Whatsapp
LD12085,Mumbai,University of Mumbai,2nd,Biotechnology,Instagram
LD12086,Bengaluru,Indian Institute of Management Bangalore (IIM-B),2nd,Electric Vehicles,College Collaboration
LD12087,Pune,Symbiosis International University,1st,Data Science,College Collaboration
LD12088,Delhi,Delhi Technological University (DTU),3rd,Environmental Science,LinkedIn
LD12089,Jaipur,Malaviya National Institute of Technology (MNIT),2nd,Environmental Science,LinkedIn
LD12090,Mumbai,Tata Institute of Social Sciences (TISS),4th,Data Science,LinkedIn
LD12091,Ahmedabad,Nirma University,1st,Environmental Science,LinkedIn
LD12092,Pune,Bharati Vidyapeeth Deemed University,4th,Artificial Intelligence,College Collaboration
LD12093,Indore,Devi Ahilya Vishwavidyalaya,2nd,Cybersecurity,College Collaboration
LD12094,Hyderabad,Jawaharlal Nehru Technological University (JNTU),3rd,Business Administration,Instagram
LD12095,Ahmedabad,Nirma University,3rd,Environmental Science,Google Form
LD12096,Mumbai,Sardar Patel Institute of Technology,2nd,Cybersecurity,Mass-Mailing
LD12097,Bengaluru,PES University,2nd,Cybersecurity,College Collaboration
LD12098,Ahmedabad,Gujarat University,2nd,Cybersecurity,Whatsapp
LD12099,Hyderabad,International Institute of Information Technology (IIIT-H),1st,Business Administration,Google Form
LD12100,Indore,Indian Institute of Management Indore (IIM-I),2nd,Environmental Science,Whatsapp
LD12101,Bengaluru,RV College of Engineering,2nd,Electric Vehicles,Google Form
LD12102,Kolkata,University of Calcutta,1st,Cybersecurity,LinkedIn
LD12103,Kolkata,Presidency University,3rd,Data Science,College Collaboration
LD12104,Delhi,Jawaharlal Nehru University (JNU),2nd,Artificial Intelligence,Google Form
LD12105,Ahmedabad,Gujarat University,3rd,Data Science,College Collaboration
LD12106,Ahmedabad,Nirma University,4th,Environmental Science,College Collaboration
LD12107,Kolkata,Presidency University,2nd,Environmental Science,College Collaboration
LD12108,Indore,Devi Ahilya Vishwavidyalaya,4th,Robotics,Instagram
LD12109,Kolkata,University of Calcutta,3rd,Business Administration,College Collaboration
LD12110,Mumbai,K. J. Somaiya College of Engineering,4th,Biotechnology,Instagram
LD12111,Jaipur,Rajasthan Technical University,4th,Environmental Science,Mass-Mailing
LD12112,Chennai,Loyola College,1st,Environmental Science,College Collaboration
LD12113,Delhi,Jamia Millia Islamia,3rd,Business Administration,LinkedIn
LD12114,Delhi,University of Delhi,2nd,Environmental Science,Instagram
LD12115,Mumbai,Sardar Patel Institute of Technology,3rd,Cybersecurity,LinkedIn
LD12116,Chennai,Anna University,3rd,Business Administration,LinkedIn
LD12117,Hyderabad,Jawaharlal Nehru Technological University (JNTU),2nd,Artificial Intelligence,Instagram
LD12118,Mumbai,K. J. Somaiya College of Engineering,4th,Biotechnology,College Collaboration
LD12119,Ahmedabad,Gujarat University,3rd,Environmental Science,College Collaboration
LD12120,Ahmedabad,Gujarat University,3rd,Cybersecurity,LinkedIn
LD12121,Hyderabad,University of Hyderabad,4th,Data Science,Instagram
LD12122,Kolkata,Presidency University,2nd,Environmental Science,LinkedIn
LD12123,Ahmedabad,Indian Institute of Management Ahmedabad (IIM-A),2nd,Environmental Science,Google Form
LD12124,Bengaluru,Indian Institute of Science (IISc),2nd,Cybersecurity,Google Form
LD12125,Ahmedabad,Gujarat University,3rd,Artificial Intelligence,College Collaboration
LD12126,Delhi,University of Delhi,2nd,Artificial Intelligence,Instagram
LD12127,Bengaluru,Indian Institute of Management Bangalore (IIM-B),2nd,Business Administration,LinkedIn
LD12128,Ahmedabad,Gujarat University,2nd,Cybersecurity,LinkedIn
LD12129,Jaipur,Malaviya National Institute of Technology (MNIT),1st,Business Administration,LinkedIn
LD12130,Bengaluru,National Institute of Fashion Technology (NIFT),3rd,Robotics,Instagram
LD12131,Delhi,Guru Gobind Singh Indraprastha University,4th,Environmental Science,College Collaboration
LD12132,Bengaluru,Christ University,2nd,Environmental Science,LinkedIn
LD12133,Mumbai,K. J. Somaiya College of Engineering,3rd,Cybersecurity,Google Form
LD12134,Delhi,Jamia Millia Islamia,2nd,Robotics,College Collaboration
LD12135,Ahmedabad,Gujarat University,2nd,Business Administration,Mass-Mailing
LD12136,Delhi,Jamia Millia Islamia,2nd,Artificial Intelligence,College Collaboration
LD12137,Ahmedabad,Indian Institute of Management Ahmedabad (IIM-A),2nd,Artificial Intelligence,College Collaboration
LD12138,Mumbai,Mithibai College,3rd,Environmental Science,Instagram
LD12139,Ahmedabad,Nirma University,3rd,Data Science,LinkedIn
LD12140,Pune,MIT World Peace University,4th,Data Science,Whatsapp
LD12141,Hyderabad,Osmania University,2nd,Robotics,Google Form
LD12142,Jaipur,Malaviya National Institute of Technology (MNIT),1st,Cybersecurity,LinkedIn
LD12143,Ahmedabad,Nirma University,2nd,Electric Vehicles,Mass-Mailing
LD12144,Jaipur,Malaviya National Institute of Technology (MNIT),2nd,Artificial Intelligence,Instagram
LD12145,Mumbai,St. Xavier's College,2nd,Biotechnology,Instagram
LD12146,Hyderabad,Osmania University,2nd,Artificial Intelligence,College Collaboration
LD12147,Hyderabad,University of Hyderabad,4th,Environmental Science,LinkedIn
LD12148,Ahmedabad,Indian Institute of Management Ahmedabad (IIM-A),2nd,Data Science,LinkedIn
LD12149,Ahmedabad,Indian Institute of Management Ahmedabad (IIM-A),3rd,Biotechnology,LinkedIn
LD12150,Ahmedabad,Nirma University,2nd,Cybersecurity,Instagram
LD12151,Delhi,Lady Shri Ram College for Women,3rd,Cybersecurity,Google Form
LD12152,Ahmedabad,Gujarat University,4th,Robotics,College Collaboration
LD12153,Delhi,Jamia Millia Islamia,3rd,Data Science,Instagram
LD12154,Delhi,University of Delhi,1st,Robotics,Mass-Mailing
LD12155,Bengaluru,National Institute of Fashion Technology (NIFT),1st,Environmental Science,LinkedIn
LD12156,Chennai,Loyola College,4th,Environmental Science,College Collaboration
LD12157,Ahmedabad,Nirma University,2nd,Electric Vehicles,Google Form
LD12158,Delhi,Jawaharlal Nehru University (JNU),2nd,Robotics,LinkedIn
LD12159,Mumbai,Narsee Monjee Institute of Management Studies (NMIMS),3rd,Artificial Intelligence,College Collaboration
LD12160,Pune,MIT World Peace University,2nd,Environmental Science,Mass-Mailing
LD12161,Bengaluru,Indian Institute of Science (IISc),2nd,Artificial Intelligence,LinkedIn
LD12162,Delhi,Delhi Technological University (DTU),2nd,Cybersecurity,Whatsapp
LD12163,Mumbai,St. Xavier's College,3rd,Data Science,College Collaboration
LD12164,Hyderabad,Indian School of Business (ISB),2nd,Environmental Science,Google Form
LD12165,Ahmedabad,Indian Institute of Management Ahmedabad (IIM-A),2nd,Artificial Intelligence,College Collaboration
LD12166,Ahmedabad,Indian Institute of Management Ahmedabad (IIM-A),2nd,Data Science,Google Form
LD12167,Jaipur,Malaviya National Institute of Technology (MNIT),3rd,Cybersecurity,LinkedIn
LD12168,Ahmedabad,Indian Institute of Management Ahmedabad (IIM-A),4th,Biotechnology,LinkedIn
LD12169,Kolkata,Indian Statistical Institute,3rd,Business Administration,College Collaboration
LD12170,Bengaluru,PES University,2nd,Data Science,Instagram
LD12171,Hyderabad,University of Hyderabad,3rd,Robotics,College Collaboration
LD12172,Hyderabad,Osmania University,2nd,Data Science,LinkedIn
LD12173,Bengaluru,National Institute of Fashion Technology (NIFT),2nd,Business Administration,Mass-Mailing
LD12174,Hyderabad,International Institute of Information Technology (IIIT-H),4th,Biotechnology,Whatsapp
LD12175,Bengaluru,Bangalore Institute of Technology,2nd,Data Science,College Collaboration
LD12176,Ahmedabad,Nirma University,2nd,Robotics,LinkedIn
LD12177,Hyderabad,International Institute of Information Technology (IIIT-H),3rd,Biotechnology,LinkedIn
LD12178,Ahmedabad,Nirma University,2nd,Electric Vehicles,LinkedIn
LD12179,Ahmedabad,Gujarat University,3rd,Cybersecurity,College Collaboration
LD12180,Ahmedabad,Indian Institute of Management Ahmedabad (IIM-A),2nd,Biotechnology,Instagram
LD12181,Chennai,Anna University,4th,Electric Vehicles,LinkedIn
LD12182,Bengaluru,Christ University,4th,Cybersecurity,Mass-Mailing
LD12183,Chennai,Vellore Institute of Technology (VIT),2nd,Robotics,College Collaboration
LD12184,Delhi,Guru Gobind Singh Indraprastha University,3rd,Environmental Science,College Collaboration
LD12185,Jaipur,Malaviya National Institute of Technology (MNIT),2nd,Electric Vehicles,Instagram
LD12186,Mumbai,Indian Institute of Technology Bombay (IIT-B),2nd,Robotics,LinkedIn
LD12187,Chennai,Madras Christian College,4th,Business Administration,Google Form
LD12188,Bengaluru,PES University,3rd,Environmental Science,College Collaboration
LD12189,Kolkata,Presidency University,4th,Electric Vehicles,College Collaboration
LD12190,Pune,MIT World Peace University,4th,Artificial Intelligence,Instagram
LD12191,Indore,Devi Ahilya Vishwavidyalaya,3rd,Environmental Science,LinkedIn
LD12192,Ahmedabad,Indian Institute of Management Ahmedabad (IIM-A),2nd,Robotics,College Collaboration
LD12193,Bengaluru,RV College of Engineering,4th,Artificial Intelligence,College Collaboration
LD12194,Ahmedabad,Indian Institute of Management Ahmedabad (IIM-A),1st,Artificial Intelligence,LinkedIn
LD12195,Kolkata,University of Calcutta,2nd,Environmental Science,College Collaboration
LD12196,Mumbai,K. J. Somaiya College of Engineering,4th,Cybersecurity,Mass-Mailing
LD12197,Mumbai,K. J. Somaiya College of Engineering,4th,Environmental Science,LinkedIn
LD12198,Chennai,Loyola College,3rd,Robotics,Mass-Mailing
LD12199,Ahmedabad,Gujarat University,3rd,Business Administration,LinkedIn
LD12200,Bengaluru,Indian Institute of Science (IISc),4th,Environmental Science,Google Form
LD12201,Mumbai,Tata Institute of Social Sciences (TISS),2nd,Artificial Intelligence,LinkedIn
LD12202,Delhi,Lady Shri Ram College for Women,2nd,Electric Vehicles,LinkedIn
LD12203,Mumbai,Tata Institute of Social Sciences (TISS),2nd,Electric Vehicles,LinkedIn
LD12204,Mumbai,Indian Institute of Technology Bombay (IIT-B),3rd,Environmental Science,LinkedIn
LD12205,Delhi,Guru Gobind Singh Indraprastha University,3rd,Data Science,LinkedIn
LD12206,Mumbai,Sardar Patel Institute of Technology,2nd,Biotechnology,College Collaboration
LD12207,Chennai,Madras Christian College,2nd,Biotechnology,Whatsapp
LD12208,Chennai,SRM Institute of Science and Technology,2nd,Cybersecurity,LinkedIn
LD12209,Bengaluru,PES University,3rd,Robotics,LinkedIn
LD12210,Chennai,SRM Institute of Science and Technology,2nd,Biotechnology,Instagram
LD12211,Bengaluru,National Institute of Fashion Technology (NIFT),3rd,Data Science,Instagram
LD12212,Kolkata,Indian Statistical Institute,2nd,Environmental Science,Google Form
LD12213,Delhi,Indian Institute of Technology Delhi (IIT-D),2nd,Electric Vehicles,Instagram
LD12214,Ahmedabad,Nirma University,2nd,Data Science,College Collaboration
LD12215,Ahmedabad,Nirma University,4th,Robotics,Google Form
LD12216,Ahmedabad,Indian Institute of Management Ahmedabad (IIM-A),3rd,Data Science,LinkedIn
LD12217,Bengaluru,PES University,4th,Environmental Science,Google Form
LD12218,Jaipur,Malaviya National Institute of Technology (MNIT),2nd,Robotics,College Collaboration
LD12219,Mumbai,Indian Institute of Technology Bombay (IIT-B),2nd,Environmental Science,LinkedIn
LD12220,Ahmedabad,Gujarat University,3rd,Data Science,Mass-Mailing
LD12221,Pune,Symbiosis International University,2nd,Biotechnology,LinkedIn
LD12222,Ahmedabad,Indian Institute of Management Ahmedabad (IIM-A),4th,Environmental Science,Instagram
LD12223,Ahmedabad,Gujarat University,4th,Business Administration,LinkedIn
LD12224,Mumbai,K. J. Somaiya College of Engineering,3rd,Data Science,LinkedIn
LD12225,Chennai,Madras Christian College,3rd,Artificial Intelligence,Whatsapp
LD12226,Kolkata,Indian Statistical Institute,4th,Environmental Science,Google Form
